City mpg,Classification,Driveline,Engine Type,Fuel Type,Height,Highway mpg,Horsepower,Hybrid,ID,Length,Make,Model Year,Number of Forward Gears,Torque,Transmission,Width,Year
8,Automatic transmission,Rear-wheel drive,Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV,E85,22,12,324,FALSE,2011 Chevrolet Express LS 2500 6.0L,60,Chevrolet,2009 Lotus Exige,6,373,6 Speed Automatic,219,2011
10,Automatic transmission,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,E85,24,13,310,FALSE,2010 Chevrolet Express LS 1500,60,Chevrolet,2009 Maybach Landaulet,4,334,4 Speed Automatic,224,2010
13,Automatic transmission,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,24,17,310,FALSE,2010 Chevrolet Express LS 1500 AWD,60,Chevrolet,2009 Nissan 370Z Coupe,4,334,4 Speed Automatic,224,2010
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,77,20,195,FALSE,2011 Chevrolet Silverado 1500 Work Truck,102,Chevrolet,2009 Nissan 370Z Coupe,4,260,4 Speed Automatic,237,2011
14,Automatic transmission,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,Gasoline,82,19,302,FALSE,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,215,Chevrolet,2009 Nissan 370Z Coupe,4,305,4 Speed Automatic,240,2011
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,85,20,195,FALSE,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,215,Chevrolet,2009 Nissan 370Z Coupe,4,260,4 Speed Automatic,237,2011
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,85,20,195,FALSE,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,215,Chevrolet,2009 Nissan 370Z Coupe,4,260,4 Speed Automatic,237,2010
15,Automatic transmission,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,77,20,195,FALSE,2010 Chevrolet Silverado 1500 Work Truck,102,Chevrolet,2009 Nissan Cube,4,260,4 Speed Automatic,237,2010
14,Automatic transmission,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,Gasoline,82,19,302,FALSE,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,215,Chevrolet,2009 Nissan Cube,4,305,4 Speed Automatic,240,2010
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,43,26,350,FALSE,2011 Nissan 370Z NISMO,52,Nissan,2009 Nissan Pathfinder,6,276,6 Speed Manual,52,2011
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,35,26,350,FALSE,2010 Nissan 370Z NISMO,75,Nissan,2009 Nissan Pathfinder,6,276,6 Speed Manual,52,2010
18,Manual transmission,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,35,26,350,FALSE,2009 Nissan 370Z NISMO,75,Nissan,2009 Nissan Pathfinder,6,276,6 Speed Manual,52,2009
21,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,29,227,FALSE,2011 Volvo C30 T5,168,Volvo,2009 Nissan Pathfinder,6,236,6 Speed Manual,247,2011
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,30,227,FALSE,2011 Volvo C30 T5 AT,168,Volvo,2009 Nissan Pathfinder,5,236,5 Speed Automatic,247,2011
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,30,227,FALSE,2010 Volvo C30 T5 AT,155,Volvo,2009 Nissan Pathfinder,5,236,5 Speed Automatic,247,2010
21,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,167,29,227,FALSE,2010 Volvo C30 T5,155,Volvo,2009 Nissan Pathfinder,6,236,6 Speed Manual,247,2010
9,Automatic transmission,Rear-wheel drive,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,Gasoline,193,15,530,FALSE,2010 Bentley Brooklands,34,Bentley,2009 Nissan Pathfinder,6,774,6 Speed Automatic,107,2010
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,99,14,621,FALSE,2012 Bentley Continental Supersports Convertible,195,Bentley,2010  Volkswagen Routan,6,590,6 Speed Automatic,153,2012
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,110,14,621,FALSE,2012 Bentley Continental Supersports Coupe,199,Bentley,2010  Volkswagen Routan,6,590,6 Speed Automatic Select Shift,153,2012
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,99,14,621,FALSE,2011 Bentley Continental Supersports Convertible,195,Bentley,2010  Volkswagen Routan,6,590,6 Speed Automatic,153,2011
12,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,Gasoline,99,19,621,FALSE,2010 Bentley Continental Supersports,195,Bentley,2010  Volkswagen Routan,6,590,6 Speed Automatic,153,2010
8,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,E85,118,13,552,FALSE,2012 Bentley Continental Flying Spur,170,Bentley,2010 Acura MDX,6,479,6 Speed Automatic,184,2012
11,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,Gasoline,108,19,600,FALSE,2012 Bentley Continental Flying Spur Speed,170,Bentley,2010 Acura RDX,6,553,6 Speed Automatic,184,2012
10,Automatic transmission,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,Gasoline,185,17,600,FALSE,2011 Bentley Continental Flying Spur Speed,170,Bentley,2010 Acura RDX,6,553,6 Speed Automatic,184,2011
10,Automatic transmission,All-wheel drive,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,Gasoline,185,17,600,FALSE,2010 Bentley Continental Flying Spur Speed,170,Bentley,2010 Acura RL,6,553,6 Speed Automatic,184,2010
10,Automatic transmission,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,Gasoline,195,17,552,FALSE,2010 Bentley Continental Flying Spur,170,Bentley,2010 Acura TL,6,479,6 Speed Automatic,184,2010
19,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,120,28,227,FALSE,2011 Volvo C70 T5,7,Volvo,2010 Acura TL,5,236,5 Speed Automatic,44,2011
20,Manual transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,119,28,227,FALSE,2010 Volvo C70 T5,230,Volvo,2010 Acura TL,6,236,6 Speed Manual,44,2010
19,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,119,28,227,FALSE,2010 Volvo C70 T5 AT,230,Volvo,2010 Acura TSX,5,236,5 Speed Automatic,44,2010
21,Manual transmission,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,Gasoline,172,29,168,FALSE,2010 Volvo S40 2.4i,123,Volvo,2010 Acura TSX,5,170,5 Speed Manual,234,2010
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,172,30,227,FALSE,2010 Volvo S40 R-Design,123,Volvo,2010 Acura TSX,5,236,5 Speed Automatic,234,2010
21,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,172,30,227,FALSE,2011 Volvo S40 T5,123,Volvo,2010 Acura ZDX,5,236,5 Speed Automatic,234,2011
20,Manual transmission,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,190,27,227,FALSE,2010 Volvo S40 R-Design AWD,123,Volvo,2010 Aston Martin DB9 Coup,6,236,6 Speed Manual,234,2010
20,Automatic transmission,Front-wheel drive,Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo,Gasoline,203,30,250,FALSE,2012 Volvo S60 T5,19,Volvo,2010 Aston Martin DB9 Coup,6,266,6 Speed Automatic Select Shift,72,2012
18,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,203,26,300,FALSE,2012 Volvo S60 T6 AWD,19,Volvo,2010 Aston Martin DB9 Volante,6,325,6 Speed Automatic Select Shift,72,2012
18,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,Gasoline,203,26,325,FALSE,2012 Volvo S60 R-Design,19,Volvo,2010 Aston Martin DB9 Volante,6,354,6 Speed Automatic Select Shift,72,2012
18,Automatic transmission,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,203,26,300,FALSE,2011 Volvo S60 T6 AWD,14,Volvo,2010 Aston Martin Rapide,6,325,6 Speed Automatic,72,2011
16,Automatic transmission,All-wheel drive,Infiniti 3.5L 6 cylinder 303 hp 262 ft-lbs,Gasoline,115,21,303,FALSE,2010 Infiniti FX35 AWD,251,Infiniti,2011 Acura MDX,7,262,7 Speed Automatic,135,2010
14,Automatic transmission,All-wheel drive,Infiniti 5.0L 8 cylinder 390 hp 369 ft-lbs,Gasoline,115,20,390,FALSE,2010 Infiniti FX50 AWD,251,Infiniti,2011 Acura RDX,7,369,7 Speed Automatic,135,2010
18,Automatic transmission,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 228 hp 221 ft-lbs,Gasoline,150,26,228,FALSE,2011 Mercedes-Benz C300 Sport AT,22,Mercedes,2011 Acura RDX,7,221,7 Speed Automatic Select Shift,234,2011
18,Automatic transmission,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 228 hp 221 ft-lbs,Gasoline,150,25,228,FALSE,2011 Mercedes-Benz C300 4Matic Sport,22,Mercedes,2011 Acura RL,7,221,7 Speed Automatic Select Shift,234,2011
18,Automatic transmission,Rear-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,Gasoline,221,27,270,FALSE,2010 Cadillac CTS Sport Wagon,2,Cadillac,2011 Acura TL,6,223,6 Speed Automatic Select Shift,52,2010
18,Automatic transmission,All-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,Gasoline,221,26,270,FALSE,2010 Cadillac CTS Sport Wagon AWD,2,Cadillac,2011 Acura TL,6,223,6 Speed Automatic Select Shift,52,2010
18,Automatic transmission,Rear-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,Gasoline,221,27,270,FALSE,2010 Cadillac CTS Sport Wagon Luxury,2,Cadillac,2011 Acura TL,6,223,6 Speed Automatic Select Shift,52,2010
18,Automatic transmission,All-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,Gasoline,221,26,270,FALSE,2010 Cadillac CTS Sport Wagon Luxury AWD,2,Cadillac,2011 Acura TSX,6,223,6 Speed Automatic Select Shift,52,2010
18,Automatic transmission,Rear-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,Gasoline,221,27,270,FALSE,2010 Cadillac CTS Sport Wagon Performance,2,Cadillac,2011 Acura TSX,6,223,6 Speed Automatic Select Shift,52,2010
18,Automatic transmission,All-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,Gasoline,221,26,270,FALSE,2010 Cadillac CTS Sport Wagon Performance AWD,2,Cadillac,2011 Acura TSX,6,223,6 Speed Automatic Select Shift,52,2010
18,Automatic transmission,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,Gasoline,221,26,304,FALSE,2010 Cadillac CTS Sport Wagon Performance 3.6L,2,Cadillac,2011 Acura TSX Sport Wagon,6,273,6 Speed Automatic Select Shift,52,2010
18,Automatic transmission,All-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,Gasoline,221,26,304,FALSE,2010 Cadillac CTS Sport Wagon Performance 3.6L AWD,2,Cadillac,2011 Acura ZDX,6,273,6 Speed Automatic Select Shift,52,2010
18,Automatic transmission,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,Gasoline,221,26,304,FALSE,2010 Cadillac CTS Sport Wagon Premium,2,Cadillac,2011 Aston Martin DB9 Coup,6,273,6 Speed Automatic Select Shift,52,2010
18,Automatic transmission,All-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,Gasoline,221,26,304,FALSE,2010 Cadillac CTS Sport Wagon Premium AWD,2,Cadillac,2011 Aston Martin DB9 Coup,6,273,6 Speed Automatic Select Shift,52,2010
16,Automatic transmission,Rear-wheel drive,Infiniti 3.5L 6 cylinder 303 hp 262 ft-lbs,Gasoline,115,23,303,FALSE,2011 Infiniti FX35,251,Infiniti,2011 Aston Martin DB9 Volante,7,262,7 Speed Automatic,135,2011
16,Automatic transmission,All-wheel drive,Infiniti 3.5L 6 cylinder 303 hp 262 ft-lbs,Gasoline,115,21,303,FALSE,2011 Infiniti FX35 AWD,251,Infiniti,2011 Aston Martin DB9 Volante,7,262,7 Speed Automatic,135,2011
14,Automatic transmission,All-wheel drive,Infiniti 5.0L 8 cylinder 390 hp 369 ft-lbs,Gasoline,142,20,390,FALSE,2011 Infiniti FX50 AWD,251,Infiniti,2011 Aston Martin DB9 Volante,7,369,7 Speed Automatic,135,2011
18,Automatic transmission,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinders 228 hp 221 ft-lbs FFV,Gasoline,165,26,228,FALSE,2010 Mercedes-Benz C300 Luxury Driver-Adaptive AT,22,Mercedes,2011 Aston Martin DBS Volante,7,221,7 Speed Automatic Select Shift,234,2010
27,Automatic transmission,Rear-wheel drive,infiniti 3.5L 6 Cylinder 302 hp 258 ft-lbs Hybrid,Gasoline,221,32,302,TRUE,2012 Infiniti M Hybrid,81,Infiniti,2011 Aston Martin DBS Volante,7,258,7 Speed Automatic Select Shift,52,2012
18,Automatic transmission,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 302 hp 272 ft-lbs,Gasoline,183,27,302,FALSE,2011 Cadillac STS,132,Cadillac,2011 Aston Martin Rapide,6,272,6 Speed Automatic Select Shift,52,2011
18,Automatic transmission,All-wheel drive,Cadillac 3.6L 6 Cylinder 302 hp 272 ft-lbs,Gasoline,183,27,302,FALSE,2011 Cadillac STS AWD,132,Cadillac,2011 Aston Martin Rapide,6,272,6 Speed Automatic Select Shift,52,2011
18,Automatic transmission,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 302 hp 272 ft-lbs,Gasoline,183,27,302,FALSE,2011 Cadillac STS Luxury,132,Cadillac,2011 Aston Martin V12 Vantage,6,272,6 Speed Automatic Select Shift,52,2011
18,Automatic transmission,All-wheel drive,Cadillac 3.6L 6 Cylinder 302 hp 272 ft-lbs,Gasoline,183,27,302,FALSE,2011 Cadillac STS Luxury AWD,132,Cadillac,2011 Aston Martin V12 Vantage,6,272,6 Speed Automatic Select Shift,52,2011
18,Automatic transmission,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 302 hp 272 ft-lbs,Gasoline,183,27,302,FALSE,2011 Cadillac STS Premium,132,Cadillac,2011 Aston Martin V8 Vantage Coup,6,272,6 Speed Automatic Select Shift,52,2011
17,Automatic transmission,Rear-wheel drive,Infiniti 3.5L 6 cylinder 303 hp 262 ft-lbs,Gasoline,228,25,303,FALSE,2009 Infiniti M M35,66,Infiniti,2011 Aston Martin V8 Vantage Coup,7,262,7 Speed Automatic,13,2009
24,Manual transmission,Front-wheel drive,Dodge 2.0L 4 Cylinder 158 hp 141  ft-lbs,Gasoline,254,32,158,FALSE,2011 Dodge Caliber Express,63,Dodge,2011 Aston Martin V8 Vantage Roadster,5,141,5 Speed Manual,212,2011
24,Manual transmission,Front-wheel drive,Dodge 2.0L 4 Cylinder 158 hp 141  ft-lbs,Gasoline,254,32,158,FALSE,2011 Dodge Caliber Heat,63,Dodge,2011 Aston Martin V8 Vantage Roadster,5,141,5 Speed Manual,212,2011
23,Manual transmission,Front-wheel drive,Dodge 2.4L 4 Cylinder 172 HP 165 FT-LBS,Gasoline,254,29,172,FALSE,2011 Dodge Caliber Rush,63,Dodge,2011 Aston Martin Virage Coup,5,165,5 Speed Manual,212,2011
18,Automatic transmission,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinders 228 hp 221 ft-lbs FFV,Gasoline,165,26,228,FALSE,2011 Mercedes-Benz C300 Luxury  Driver-Adaptive AT,22,Mercedes,2011 Aston Martin Virage Volante,7,221,7 Speed Automatic Select Shift,234,2011
23,Manual transmission,Front-wheel drive,Dodge 2.0L 4 Cylinder 158 hp 141  ft-lbs,Gasoline,254,31,158,FALSE,2010 Dodge Caliber Express,63,Dodge,2011 Audi A3,5,141,5 Speed Manual,212,2010
17,Manual transmission,All-wheel drive,Subaru 2.5L 4 cylinder 305 hp 290 ft-lbs Turbo,Gasoline,195,23,305,FALSE,2011 Subaru Impreza WRX STI Limited Sedan,227,Subaru,2012 Acura MDX,6,290,6 Speed Manual,3,2011
19,Manual transmission,All-wheel drive,Subaru 2.5L 4 cylinder 265 hp 244 ft-lbs Turbo,Gasoline,195,25,265,FALSE,2011 Subaru Impreza WRX Limited Sedan,227,Subaru,2012 Acura RL,5,244,5 Speed Manual,3,2011
13,Automatic transmission,Rear-wheel drive,Ford 4.6L 8 cylinder 225 hp 286 ft-lbs FFV,Gasoline,44,17,225,FALSE,2012 Ford E-150 Van Commercial,128,Ford,2012 Acura TL,4,286,4 Speed Automatic,224,2012
9,Automatic transmission,Rear-wheel drive,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,E85,44,12,255,FALSE,2012 Ford E-150 Van Commercial 5.4L,128,Ford,2012 Acura TL,4,350,4 Speed Automatic,224,2012
9,Automatic transmission,Rear-wheel drive,Ford 4.6L 8 cylinder 225 hp 286 ft-lbs FFV,E85,50,12,225,FALSE,2012 Ford E-150 Van Commercial Extended,116,Ford,2012 Acura TSX,4,286,4 Speed Automatic,224,2012
12,Automatic transmission,Rear-wheel drive,Ford 5.4L 8 cylinder 255 hp 350 ft-lbs FFV,Gasoline,50,16,255,FALSE,2012 Ford E-150 Van Commercial Extended 5.4L,116,Ford,2012 Acura TSX,4,350,4 Speed Automatic,224,2012
13,Automatic transmission,Rear-wheel drive,Ford 4.6L 8 cylinder 225 hp 286 ft-lbs FFV,Gasoline,44,17,225,FALSE,2012 Ford E-150 Van Recreational,128,Ford,2012 Acura TSX,4,286,4 Speed Automatic,224,2012
